GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
petclinic,org.springframework.samples.petclinic,PetClinicApplication,5,3,0,0,2,1,1,1,1,1
petclinic,org.springframework.samples.petclinic.model,BaseEntity,0,17,0,2,0,5,0,5,0,4
petclinic,org.springframework.samples.petclinic.model,NamedEntity,0,13,0,0,0,5,0,4,0,4
petclinic,org.springframework.samples.petclinic.model,Person,0,17,0,0,0,7,0,5,0,5
petclinic,org.springframework.samples.petclinic.vet,VetController,0,37,0,0,0,10,0,3,0,3
petclinic,org.springframework.samples.petclinic.vet,Vet,4,41,0,2,2,10,1,6,1,5
petclinic,org.springframework.samples.petclinic.vet,Specialty,0,3,0,0,0,1,0,1,0,1
petclinic,org.springframework.samples.petclinic.vet,Vets,0,14,0,2,0,4,0,3,0,2
petclinic,org.springframework.samples.petclinic.visit,Visit,4,23,0,0,2,10,1,6,1,6
petclinic,org.springframework.samples.petclinic.owner,VisitController,0,51,0,2,0,16,0,6,0,5
petclinic,org.springframework.samples.petclinic.owner,Owner,31,110,8,4,9,28,7,13,2,12
petclinic,org.springframework.samples.petclinic.owner,OwnerController,0,144,0,10,0,36,0,14,0,9
petclinic,org.springframework.samples.petclinic.owner,PetType,0,3,0,0,0,1,0,1,0,1
petclinic,org.springframework.samples.petclinic.owner,PetTypeFormatter,0,44,0,4,0,10,0,5,0,3
petclinic,org.springframework.samples.petclinic.owner,Pet,9,62,1,1,3,19,2,10,1,10
petclinic,org.springframework.samples.petclinic.owner,PetController,5,115,3,7,1,31,3,11,0,9
petclinic,org.springframework.samples.petclinic.owner,PetValidator,5,36,2,6,1,10,2,5,0,3
petclinic,org.springframework.samples.petclinic.system,WelcomeController,2,3,0,0,1,1,1,1,1,1
petclinic,org.springframework.samples.petclinic.system,CacheConfiguration,0,19,0,0,0,5,0,4,0,4
petclinic,org.springframework.samples.petclinic.system,CrashController,5,3,0,0,1,1,1,1,1,1
